directed_id,original_edge_id,nvdb_id,name,geometry,is_reverse
1,1,1851701,Mjölnerbacken,"LINESTRING (17.93278058471137 59.37847386000104, 17.932656307790868 59.37848873254058, 17.932559705241164 59.37851552660635, 17.932489694565007 59.37855007024797, 17.93243686298486 59.378595522568084, 17.93239443739082 59.378645440369674, 17.93237170531169 59.37870377518044, 17.932367087651677 59.37876182834971, 17.932371446829748 59.37882737143617, 17.932378875095445 59.378872178193056, 17.93238597124503 59.37897551681522)",false
2,2,1851569,Rissneleden,"LINESTRING (17.936124184081933 59.38014760527937, 17.936099506345926 59.380135319438814, 17.935873315556073 59.38000836694408, 17.935402667463542 59.37974275029012, 17.934973910238252 59.37952769554141, 17.93468712499222 59.37939540180261, 17.934454911726725 59.37930174011317, 17.934227229867016 59.37922218257282, 17.934022586275532 59.379162414054804, 17.93378616910646 59.37910666700725, 17.933554227793273 59.37906337197154, 17.93328697302472 59.37902796983918, 17.933059556089294 59.37900746792168, 17.93285127068394 59.37899457750389, 17.932650285191794 59.37898810912601, 17.93238597124503 59.37897551681522)",false
3,3,1851723,Mjölnerbacken,"LINESTRING (17.934891302545424 59.37885849631949, 17.934773555104115 59.3788297416376, 17.93463684118494 59.37879996707483, 17.934496483937433 59.37878141675871, 17.934375133757914 59.3787680186609, 17.93406147635632 59.37875074453928, 17.933925529687613 59.378743281659006, 17.93381374189328 59.37872947015956, 17.933725637130934 59.37871012054653, 17.933624323616637 59.37868362787021, 17.933438003173713 59.37861758744859, 17.933225616990427 59.37854376746461, 17.93312342401653 59.37851157025348, 17.93301217488801 59.378488490604845, 17.93299069122316 59.37848626022609)",false
4,4,1851722,Mjölnerbacken,"LINESTRING (17.935081877563153 59.378905056584195, 17.934891302545424 59.37885849631949)",false
5,5,1851721,Mjölnerbacken,"LINESTRING (17.936428056594647 59.37893851491411, 17.936340061757637 59.37895832466651, 17.936223332226024 59.37897861079424, 17.936112892511225 59.37899689510174, 17.93598932027057 59.379009131090044, 17.93586062760895 59.379016531094756, 17.935729935110786 59.379016895198234, 17.935598688983077 59.37900800728323, 17.93546642615412 59.378990416923806, 17.93534999796787 59.37897041216459, 17.935264482940777 59.37894966637872, 17.935081877563153 59.378905056584195)",false
6,6,1851568,Rissneleden,"LINESTRING (17.93613677784174 59.38015387499808, 17.936124184081933 59.38014760527937)",false
7,7,1851567,Rissneleden,"LINESTRING (17.9370644930554 59.38047778720455, 17.93689828594246 59.380445740952275, 17.93674808907975 59.38040475241963, 17.936627323251678 59.38036521246459, 17.9365222408178 59.38032923696113, 17.936403619741732 59.38028068965997, 17.93630769977015 59.38023722913103, 17.936206672139058 59.3801886718053, 17.93613677784174 59.38015387499808)",false
8,8,1851720,Mjölnerbacken,"LINESTRING (17.936520821031845 59.37891948726277, 17.936446436657054 59.378934380807436, 17.936428056594647 59.37893851491411)",false
9,9,1851300,Rissneleden,"LINESTRING (17.937144552234702 59.38068452602842, 17.93716142968992 59.38070453458233, 17.937172500897983 59.38072725286494, 17.93717591659013 59.3807488137166, 17.93717355739244 59.38076734166718, 17.937164885505567 59.380788222339376, 17.937153758093444 59.380803928595256, 17.93713707033757 59.38082050593614, 17.937116450814578 59.38083560832093, 17.937093354519725 59.38084854700658, 17.93706194438451 59.38086187965269, 17.937016462737777 59.38087521478171, 17.936974522009066 59.38088286299064, 17.936930490089818 59.380886901073815, 17.936891521260627 59.38088737454321, 17.936851732309567 59.38088488319041, 17.93682164367609 59.380880924292896, 17.936776126900206 59.3808710588007, 17.93674218712458 59.38086004292554, 17.936697169380203 59.3808384397015, 17.93667025212013 59.3808190256519, 17.936652069313386 59.38080000792064, 17.936639563396973 59.380779226903556, 17.936633614343346 59.380758100508736, 17.936634119780518 59.380736666985946, 17.936642257542136 59.380713273375704, 17.936656637460924 59.380692614617544, 17.93667001510092 59.380679301857676, 17.936692987652386 59.38066228648317, 17.936720653688113 59.3806472051589, 17.936752392336015 59.38063441332753, 17.936788520764253 59.38062391282745, 17.936823077260893 59.38061702407346, 17.93685988455954 59.38061253773074, 17.936896288775195 59.38061072025356, 17.936928348190403 59.38061120216073, 17.936967070861918 59.38061440042628, 17.93699251007272 59.38061815850864)",false
10,10,1851719,Mjölnerbacken,"LINESTRING (17.93704244302941 59.378898877032654, 17.936869258478072 59.37889336136125, 17.93674709568371 59.37889358825775, 17.936642938965345 59.378900625045006, 17.93654505552366 59.37891462821198, 17.936520821031845 59.37891948726277)",false
